Date,Close
30/09/2019,6.169,102051
21/07/2020;5.114,708984
22/07/2020;5.110,187012
23/07/2020;5.145,009766
24/07/2020;5.082,991211
27/07/2020;5.116,666016
28/07/2020;5.112,988770
29/07/2020;5.149,629883
30/07/2020;5.149,626953
3/8/2020;5.006,223145
4/8/2020;5.075,001953
5/8/2020;5.127,050781
6/8/2020;5.178,271973
7/8/2020;5.143,893066
10/8/2020;5.157,833984
11/8/2020;5.190,169922
12/8/2020;5.233,452148
13/08/2020;5.239,250000
14/08/2020;5.247,689941
18/08/2020;5.295,173828
19/08/2020;5.272,810059
24/08/2020;5.277,041016
25/08/2020;5.338,888184
26/08/2020;5.340,328125
27/08/2020;5.371,472168
28/08/2020;5.346,659180
31/08/2020;5.238,486816
1/9/2020;5.310,679199
2/9/2020;5.311,970215
3/9/2020;5.280,812988
4/9/2020;5.239,851074
7/9/2020;5.230,195801
8/9/2020;5.244,071777
9/9/2020;5.149,375977
10/9/2020;4.891,460938
11/9/2020;5.016,711914
14/09/2020;5.161,828125
15/09/2020;5.100,865234
16/09/2020;5.058,481934
17/09/2020;5.038,400879
18/09/2020;5.059,223145
21/09/2020;4.999,359863
22/09/2020;4.934,092773
23/09/2020;4.917,955078
24/09/2020;4.842,755859
25/09/2020;4.945,791016
28/09/2020;4.906,547852
29/09/2020;4.879,098145
30/09/2020;4.870,039063
1/10/2020;4.970,094238
2/10/2020;4.926,733887
5/10/2020;4.958,769043
6/10/2020;4.999,221191
7/10/2020;5.004,327148
8/10/2020;5.039,142090
9/10/2020;5.053,663086
12/10/2020;5.093,099121
13/10/2020;5.132,571777
14/10/2020;5.176,099121
15/10/2020;5.105,149902
16/10/2020;5.103,414063
19/10/2020;5.126,330078
20/10/2020;5.099,839844
21/10/2020;5.096,445801
22/10/2020;5.091,815918
23/10/2020;5.112,187988
26/10/2020;5.144,048828
27/10/2020;5.128,225098
2/11/2020;5.115,127930
3/11/2020;5.159,452148
4/11/2020;5.105,199219
5/11/2020;5.260,326172
6/11/2020;5.335,528809
9/11/2020;5.356,004883
10/11/2020;5.462,738770
11/11/2020;5.509,513184
12/11/2020;5.458,602051
13/11/2020;5.461,058105
16/11/2020;5.494,872070
17/11/2020;5.529,939941
18/11/2020;5.557,518066
19/11/2020;5.594,059082
20/11/2020;5.571,655762
23/11/2020;5.652,764160
24/11/2020;5.701,028809
25/11/2020;5.679,247070
26/11/2020;5.759,916016
27/11/2020;5.783,334961
30/11/2020;5.612,415039
1/12/2020;5.724,742188
2/12/2020;5.813,986816
3/12/2020;5.822,941895
4/12/2020;5.810,482910
7/12/2020;5.930,758789
8/12/2020;5.944,409180
10/12/2020;5.933,698242
11/12/2020;5.938,329102
14/12/2020;6.012,516113
15/12/2020;6.010,127930
16/12/2020;6.118,401855
17/12/2020;6.113,381836
18/12/2020;6.104,324219
21/12/2020;6.165,624023
22/12/2020;6.023,289063
23/12/2020;6.008,708984
28/12/2020;6.093,554199
29/12/2020;6.036,173828
30/12/2020;5.979,073242
4/1/2021;6.104,897949
5/1/2021;6.137,342773
6/1/2021;6.065,682129
7/1/2021;6.153,632813
8/1/2021;6.257,834961
11/1/2021;6.382,937012
12/1/2021;6.395,668945
13/01/2021;6.435,205078
14/01/2021;6.428,314941
15/01/2021;6.373,412109
18/01/2021;6.389,833984
19/01/2021;6.321,855957
20/01/2021;6.429,757813
21/01/2021;6.413,892090
22/01/2021;6.307,126953
25/01/2021;6.258,571777
26/01/2021;6.140,170898
27/01/2021;6.109,167969
28/01/2021;5.979,387207
29/01/2021;5.862,352051
1/2/2021;6.067,544922
2/2/2021;6.043,840820
3/2/2021;6.077,745117
4/2/2021;6.107,215820
5/2/2021;6.151,729004
8/2/2021;6.208,866211
9/2/2021;6.181,671875
10/2/2021;6.201,828125
11/2/2021;6.222,520996
15/02/2021;6.270,324219
16/02/2021;6.292,395996
17/02/2021;6.227,728027
18/02/2021;6.200,308105
19/02/2021;6.231,932129
22/02/2021;6.255,312012
23/02/2021;6.272,807129
24/02/2021;6.251,054199
25/02/2021;6.289,645996
26/02/2021;6.241,795898
1/3/2021;6.338,513184
2/3/2021;6.359,205078
3/3/2021;6.376,756836
4/3/2021;6.290,798828
5/3/2021;6.258,749023
8/3/2021;6.248,464844
9/3/2021;6.199,646973
10/3/2021;6.264,679199
12/3/2021;6.358,208984
15/03/2021;6.324,258789
16/03/2021;6.309,699219
17/03/2021;6.277,228027
18/03/2021;6.347,829102
19/03/2021;6.356,160156
22/03/2021;6.301,130859
23/03/2021;6.252,711914
24/03/2021;6.156,140137
25/03/2021;6.122,875977
26/03/2021;6.195,562012
29/03/2021;6.166,817871
30/03/2021;6.071,441895
31/03/2021;5.985,521973
1/4/2021;6.011,456055
5/4/2021;5.970,286133
6/4/2021;6.002,770020
7/4/2021;6.036,616211
8/4/2021;6.071,724121
9/4/2021;6.070,208984
12/4/2021;5.948,568848
13/04/2021;5.927,435059
14/04/2021;6.050,275879
15/04/2021;6.079,500977
16/04/2021;6.086,257813
19/04/2021;6.052,540039
20/04/2021;6.038,321777
21/04/2021;5.993,242188
22/04/2021;5.994,184082
23/04/2021;6.016,863770
26/04/2021;5.964,820801
27/04/2021;5.959,621094
28/04/2021;5.974,479004
29/04/2021;6.012,960938
30/04/2021;5.995,616211
3/5/2021;5.952,597168
4/5/2021;5.963,819824
5/5/2021;5.975,911133
6/5/2021;5.970,240234
7/5/2021;5.928,309082
10/5/2021;5.975,787109
11/5/2021;5.938,351074
17/05/2021;5.833,859863
18/05/2021;5.834,394043
19/05/2021;5.760,583984
20/05/2021;5.797,597168
21/05/2021;5.773,120117
24/05/2021;5.763,631836
25/05/2021;5.815,839844
27/05/2021;5.841,828125
28/05/2021;5.848,616211
31/05/2021;5.947,462891
2/6/2021;6.031,578125
3/6/2021;6.091,513184
4/6/2021;6.065,166016
7/6/2021;6.069,935059
8/6/2021;5.999,369141
9/6/2021;6.047,475098
10/6/2021;6.107,538086
11/6/2021;6.095,497070
14/06/2021;6.080,383789
15/06/2021;6.089,038086
16/06/2021;6.078,567871
17/06/2021;6.068,446777
18/06/2021;6.007,120117
21/06/2021;5.996,252930
22/06/2021;6.087,841797
23/06/2021;6.034,542969
24/06/2021;6.012,056152
25/06/2021;6.022,398926
28/06/2021;5.939,471191
29/06/2021;5.949,049805
30/06/2021;5.985,488770
1/7/2021;6.005,958008
2/7/2021;6.023,007813
5/7/2021;6.005,608887
6/7/2021;6.047,110840
7/7/2021;6.044,037109
8/7/2021;6.039,895996
9/7/2021;6.039,844238
12/7/2021;6.078,567871
13/07/2021;6.012,032227
14/07/2021;5.979,214844
15/07/2021;6.046,753906
16/07/2021;6.072,509766
19/07/2021;6.017,394043
21/07/2021;6.029,976074
22/07/2021;6.137,546875
23/07/2021;6.101,689941
26/07/2021;6.106,394043
27/07/2021;6.097,048828
28/07/2021;6.088,522949
29/07/2021;6.120,727051
30/07/2021;6.070,039063
2/8/2021;6.096,542969
3/8/2021;6.130,570801
4/8/2021;6.159,035156
5/8/2021;6.205,416992
6/8/2021;6.203,431152
9/8/2021;6.127,456055
10/8/2021;6.088,408203
12/8/2021;6.139,651855
13/08/2021;6.139,492188
16/08/2021;6.087,913086
18/08/2021;6.118,149902
19/08/2021;5.992,321777
20/08/2021;6.030,771973
23/08/2021;6.109,828125
24/08/2021;6.089,497070
25/08/2021;6.113,240234
26/08/2021;6.058,080078
27/08/2021;6.041,366211
30/08/2021;6.144,901855
31/08/2021;6.150,298828
1/9/2021;6.090,933105
2/9/2021;6.078,229004
3/9/2021;6.126,920898
6/9/2021;6.126,937988
7/9/2021;6.112,399902
8/9/2021;6.026,020020
9/9/2021;6.068,219238
10/9/2021;6.094,873047
13/09/2021;6.088,157227
14/09/2021;6.129,095215
15/09/2021;6.110,229004
16/09/2021;6.109,941895
17/09/2021;6.133,246094
20/09/2021;6.076,314941
21/09/2021;6.060,756836
22/09/2021;6.108,265137
23/09/2021;6.142,711914
24/09/2021;6.144,814941
27/09/2021;6.122,495117
28/09/2021;6.113,111816
29/09/2021;6.162,554199
30/09/2021;6.286,942871
1/10/2021;6.228,845215
4/10/2021;6.342,686035
5/10/2021;6.288,048828
6/10/2021;6.417,323242
7/10/2021;6.416,395996
8/10/2021;6.481,769043
11/10/2021;6.459,696777
12/10/2021;6.486,267090
13/10/2021;6.536,903809
14/10/2021;6.626,113770
15/10/2021;6.633,337891
18/10/2021;6.658,768066
19/10/2021;6.655,998047
21/10/2021;6.632,972168
22/10/2021;6.643,737793
25/10/2021;6.625,696777
26/10/2021;6.656,937012
27/10/2021;6.602,208984
28/10/2021;6.524,076172
29/10/2021;6.591,346191
1/11/2021;6.552,889160
2/11/2021;6.493,274902
3/11/2021;6.552,129883
4/11/2021;6.586,442871
5/11/2021;6.581,785156
8/11/2021;6.632,296875
9/11/2021;6.669,924805
10/11/2021;6.683,145020
11/11/2021;6.691,341797
12/11/2021;6.651,054199
15/11/2021;6.616,028809
16/11/2021;6.651,207031
17/11/2021;6.675,804199
18/11/2021;6.636,469238
19/11/2021;6.720,263184
22/11/2021;6.723,386230
23/11/2021;6.677,875977
24/11/2021;6.683,276855
25/11/2021;6.699,346191
26/11/2021;6.561,553223
29/11/2021;6.608,290039
30/11/2021;6.533,932129
1/12/2021;6.507,676758
2/12/2021;6.583,819824
3/12/2021;6.538,505859
6/12/2021;6.547,116211
7/12/2021;6.602,568848
8/12/2021;6.603,797852
9/12/2021;6.643,932129
10/12/2021;6.652,921875
13/12/2021;6.662,871094
14/12/2021;6.615,637207
15/12/2021;6.626,256836
16/12/2021;6.594,797852
17/12/2021;6.601,932129
20/12/2021;6.547,111816
21/12/2021;6.554,309082
22/12/2021;6.529,592773
23/12/2021;6.555,550781
24/12/2021;6.562,899902
27/12/2021;6.575,443848
28/12/2021;6.598,342773
29/12/2021;6.600,676758
30/12/2021;6.581,481934
3/1/2022;6.665,308105
4/1/2022;6.695,373047
5/1/2022;6.662,298828
6/1/2022;6.653,351074
7/1/2022;6.701,315918
10/1/2022;6.691,124023
11/1/2022;6.647,970215
12/1/2022;6.647,064941
13/01/2022;6.658,355957
14/01/2022;6.693,400879
17/01/2022;6.645,047852
18/01/2022;6.614,059082
19/01/2022;6.591,980957
20/01/2022;6.626,871094
21/01/2022;6.726,373047
24/01/2022;6.655,166016
25/01/2022;6.568,172852
26/01/2022;6.600,818848
27/01/2022;6.611,161133
28/01/2022;6.645,511230
31/01/2022;6.631,150879
2/2/2022;6.707,651855
3/2/2022;6.683,851074
4/2/2022;6.731,391113
7/2/2022;6.804,937012
8/2/2022;6.789,521973
9/2/2022;6.834,605957
10/2/2022;6.823,642090
11/2/2022;6.815,606934
14/02/2022;6.734,485840
15/02/2022;6.807,497070
16/02/2022;6.850,198242
17/02/2022;6.835,117188
18/02/2022;6.892,817871
21/02/2022;6.902,964844
22/02/2022;6.861,994141
23/02/2022;6.920,056152
24/02/2022;6.817,819824
25/02/2022;6.888,170898
1/3/2022;6.921,440918
2/3/2022;6.868,401855
4/3/2022;6.928,328125
7/3/2022;6.869,065918
8/3/2022;6.814,183105
9/3/2022;6.864,440918
10/3/2022;6.924,007813
11/3/2022;6.922,602051
14/03/2022;6.952,204102
15/03/2022;6.918,185059
16/03/2022;6.992,395020
17/03/2022;6.964,384766
18/03/2022;6.954,964844
21/03/2022;6.955,181152
22/03/2022;7.000,821777
23/03/2022;6.996,115234
24/03/2022;7.049,685059
25/03/2022;7.002,532227
28/03/2022;7.049,603027
29/03/2022;7.011,688965
30/03/2022;7.053,189941
31/03/2022;7.071,441895
1/4/2022;7.078,759766
4/4/2022;7.116,217773
5/4/2022;7.148,298828
6/4/2022;7.104,215820
7/4/2022;7.127,367188
8/4/2022;7.210,834961
11/4/2022;7.203,793945
12/4/2022;7.214,780762
13/04/2022;7.262,776855
14/04/2022;7.235,532227
18/04/2022;7.275,289063
19/04/2022;7.199,231934
20/04/2022;7.227,361816
21/04/2022;7.276,192871
22/04/2022;7.225,605957
25/04/2022;7.215,979004
26/04/2022;7.232,152832
27/04/2022;7.196,764160
28/04/2022;7.228,914063
9/5/2022;6.909,750977
10/5/2022;6.819,793945
11/5/2022;6.816,203125
12/5/2022;6.599,839844
13/05/2022;6.597,993164
17/05/2022;6.644,466797
18/05/2022;6.793,414063
19/05/2022;6.823,334961
20/05/2022;6.918,144043
23/05/2022;6.840,774902
24/05/2022;6.914,141113
25/05/2022;6.883,503906
27/05/2022;7.026,255859
30/05/2022;7.037,564941
31/05/2022;7.148,970215
2/6/2022;7.148,723145
3/6/2022;7.182,960938
6/6/2022;7.096,582031
7/6/2022;7.141,044922
8/6/2022;7.193,313965
9/6/2022;7.182,830078
10/6/2022;7.086,647949
13/06/2022;6.995,441895
14/06/2022;7.049,881836
15/06/2022;7.007,049805
16/06/2022;7.050,326172
17/06/2022;6.936,966797
20/06/2022;6.976,376953
21/06/2022;7.044,070801
22/06/2022;6.984,311035
23/06/2022;6.998,267090
24/06/2022;7.042,937012
27/06/2022;7.016,055176
28/06/2022;6.996,456055
29/06/2022;6.942,351074
30/06/2022;6.911,582031
1/7/2022;6.794,328125
4/7/2022;6.639,171875
5/7/2022;6.703,266113
6/7/2022;6.646,410156
7/7/2022;6.652,586914
8/7/2022;6.740,219238
11/7/2022;6.722,145020
12/7/2022;6.718,293945
13/07/2022;6.640,990234
14/07/2022;6.690,086914
15/07/2022;6.651,904785
18/07/2022;6.659,252930
19/07/2022;6.736,091797
20/07/2022;6.874,743164
21/07/2022;6.864,130859
22/07/2022;6.886,961914
25/07/2022;6.858,407227
26/07/2022;6.871,537109
27/07/2022;6.898,215820
28/07/2022;6.956,816895
29/07/2022;6.951,123047
1/8/2022;6.968,783203
2/8/2022;6.988,157227
3/8/2022;7.046,634766
4/8/2022;7.057,348145
5/8/2022;7.084,654785
8/8/2022;7.086,849121
9/8/2022;7.102,879883
10/8/2022;7.086,235840
11/8/2022;7.160,384766
12/8/2022;7.129,276855
15/08/2022;7.093,275879
16/08/2022;7.133,453125
18/08/2022;7.186,558105
19/08/2022;7.172,434082
22/08/2022;7.107,982910
23/08/2022;7.163,265137
24/08/2022;7.194,706055
25/08/2022;7.174,208008
26/08/2022;7.135,248047
29/08/2022;7.132,044922
30/08/2022;7.159,473145
31/08/2022;7.178,589844
1/9/2022;7.153,104004
2/9/2022;7.177,179199
5/9/2022;7.231,882813
6/9/2022;7.233,154785
7/9/2022;7.186,756836
8/9/2022;7.232,017090
9/9/2022;7.242,655762
12/9/2022;7.254,463867
13/09/2022;7.318,016113
14/09/2022;7.278,078125
15/09/2022;7.305,601074
16/09/2022;7.168,870117
19/09/2022;7.195,487793
20/09/2022;7.196,951172
21/09/2022;7.188,313965
22/09/2022;7.218,905762
23/09/2022;7.178,583008
26/09/2022;7.127,502930
27/09/2022;7.112,449219
28/09/2022;7.077,030762
29/09/2022;7.036,198242
30/09/2022;7.040,797852
3/10/2022;7.009,717773
4/10/2022;7.072,255859
5/10/2022;7.075,384766
6/10/2022;7.076,623047
7/10/2022;7.026,783203
10/10/2022;6.994,395020
11/10/2022;6.939,145020
12/10/2022;6.909,208984
13/10/2022;6.880,625000
14/10/2022;6.814,529785
17/10/2022;6.831,115234
18/10/2022;6.834,494141
19/10/2022;6.860,416016
20/10/2022;6.980,651855
21/10/2022;7.017,770996
24/10/2022;7.053,043945
25/10/2022;7.048,379883
26/10/2022;7.043,938965
27/10/2022;7.091,761230
28/10/2022;7.056,040039
31/10/2022;7.098,890137
1/11/2022;7.052,303223
2/11/2022;7.015,689941
3/11/2022;7.034,573242
4/11/2022;7.045,526855
7/11/2022;7.102,395996
8/11/2022;7.050,125977
9/11/2022;7.070,083984
10/11/2022;6.966,836914
11/11/2022;7.089,206055
14/11/2022;7.019,392090
15/11/2022;7.035,500000
16/11/2022;7.014,383789
17/11/2022;7.044,985840
18/11/2022;7.082,181152
21/11/2022;7.063,247070
22/11/2022;7.030,587891
23/11/2022;7.054,123047
24/11/2022;7.080,515137
25/11/2022;7.053,149902
28/11/2022;7.017,357910
29/11/2022;7.012,068848
30/11/2022;7.081,312988
1/12/2022;7.020,803223
2/12/2022;7.019,639160
5/12/2022;6.987,328125
6/12/2022;6.892,569824
7/12/2022;6.818,751953
8/12/2022;6.804,227051
9/12/2022;6.715,118164
12/12/2022;6.734,452148
13/12/2022;6.810,315918
14/12/2022;6.801,749023
15/12/2022;6.751,859863
16/12/2022;6.812,192871
19/12/2022;6.779,698242
20/12/2022;6.768,315918
21/12/2022;6.820,663086
22/12/2022;6.824,432129
23/12/2022;6.800,672852
26/12/2022;6.835,808105
27/12/2022;6.923,026855
28/12/2022;6.850,520020
29/12/2022;6.860,077148
30/12/2022;6.850,619141
2/1/2023;6.850,983887
3/1/2023;6.888,757813
4/1/2023;6.813,238770
5/1/2023;6.653,840820
6/1/2023;6.684,558105
9/1/2023;6.688,265137
10/1/2023;6.622,499023
11/1/2023;6.584,453125
12/1/2023;6.629,934082
13/01/2023;6.641,830078
16/01/2023;6.688,057129
17/01/2023;6.767,339844
18/01/2023;6.765,786133
19/01/2023;6.819,907227
20/01/2023;6.874,931152
24/01/2023;6.860,854004
25/01/2023;6.829,930176
26/01/2023;6.864,817871
27/01/2023;6.898,980957
30/01/2023;6.872,480957
31/01/2023;6.839,341797
1/2/2023;6.862,257813
2/2/2023;6.890,571777
3/2/2023;6.911,731934
6/2/2023;6.873,791016
7/2/2023;6.935,300781
8/2/2023;6.940,124023
9/2/2023;6.897,365234
10/2/2023;6.880,329102
13/02/2023;6.900,140137
14/02/2023;6.941,854980
15/02/2023;6.914,538086
16/02/2023;6.895,664063
17/02/2023;6.895,713867
20/02/2023;6.894,716797
21/02/2023;6.873,404785
22/02/2023;6.809,967773
23/02/2023;6.839,454102
24/02/2023;6.856,576172
27/02/2023;6.854,776855
